,comments,text
0,Check on availability.,가용성을 확인하십시오.
1,Difficult to negotiate with customer. We need more marketing materials,고객과 협상하기 어렵습니다.더 많은 마케팅 자료가 필요합니다
2,Customer requested that FedEx Ground is used for this shipping,고객은이 배송에 FedEx Ground가 사용되었다고 요청했습니다.
3,"Customer requested that ad materials (such as posters, pamphlets) be included in the shippment","고객은 광고 자료 (예 : 포스터, 팜플렛)가 선적에 포함되도록 요청했습니다."
4,Customer has worked with some of our vendors in the past and is aware of their MSRP,고객은 과거에 일부 공급 업체와 협력했으며 MSRP를 알고 있습니다.
5,Customer very concerned about the exact color of the models. There is high risk that he may dispute the order because there is a slight color mismatch,고객은 모델의 정확한 색상에 대해 매우 우려합니다.약간의 색상 불일치가 있기 때문에 그가 명령에 이의를 제기 할 수있는 위험이 높습니다.
6,Customer requested special shippment. The instructions were passed along to the warehouse,고객은 특별 배송을 요청했습니다.지침은 창고로 전달되었습니다
7,Customer is interested in buying more Ferrari models,고객은 더 많은 페라리 모델을 구매하는 데 관심이 있습니다
8,Can we deliver the new Ford Mustang models by end-of-quarter?,새로운 포드 머스탱 모델을 4 분의 끝까지 제공 할 수 있습니까?
9,They want to reevaluate their terms agreement with Finance.,그들은 금융과의 약관 계약을 재평가하고 싶어합니다.
10,"This order was disputed, but resolved on 11/1/2003; Customer doesn't like the colors and precision of the models.",이 명령은 이의를 제기했지만 2003 년 11 월 1 일에 해결되었다.고객은 모델의 색상과 정밀도를 좋아하지 않습니다.
11,This order was on hold because customers's credit limit had been exceeded. Order will ship when payment is received,고객의 신용 한도가 초과 되었기 때문에이 주문은 보류되었습니다.지불이 접수되면 주문이 배송됩니다
12,Customer called to cancel. The warehouse was notified in time and the order didn't ship. They have a new VP of Sales and are shifting their sales model. Our VP of Sales should contact them.,고객이 취소하기 위해 전화했습니다.창고는 제 시간에 통보되었고 주문은 배송되지 않았습니다.그들은 새로운 판매 부사장을 보유하고 있으며 판매 모델을 변화시키고 있습니다.우리의 판매 부사장은 그들에게 연락해야합니다.
13,"Cautious optimism. We have happy customers here, if we can keep them well stocked.  I need all the information I can get on the planned shippments of Porches",신중한 낙관주의.우리는 여기에 행복한 고객이 있습니다.계획된 현관 전환에 얻을 수있는 모든 정보가 필요합니다.
14,Custom shipping instructions sent to warehouse,사용자 정의 배송 지침은 창고로 전송됩니다
15,Customer cancelled due to urgent budgeting issues. Must be cautious when dealing with them in the future. Since order shipped already we must discuss who would cover the shipping charges.,긴급한 예산 책정 문제로 인해 고객이 취소되었습니다.미래에 그들을 다룰 때 조심해야합니다.주문이 이미 배송되었으므로 운송 비용을 충당 할 사람에 대해 논의해야합니다.
16,We need to keep in close contact with their Marketing VP. He is the decision maker for all their purchases.,우리는 마케팅 부사장과 긴밀히 연락해야합니다.그는 모든 구매에 대한 의사 결정자입니다.
17,They want to reevaluate their terms agreement with the VP of Sales,그들은 판매 부사장과의 약관 계약을 재평가하고 싶어합니다.
18,We must be cautions with this customer. Their VP of Sales resigned. Company may be heading down.,우리는이 고객에게주의를 기울여야합니다.그들의 판매 부사장은 사임했다.회사가 내려갈 수 있습니다.
19,Customer inquired about remote controlled models and gold models.,고객은 원격 제어 모델과 금 모델에 대해 문의했습니다.
20, I need all the information I can get on our competitors.,경쟁사에게 얻을 수있는 모든 정보가 필요합니다.
21,Can we renegotiate this one?,우리는 이것을 재협상 할 수 있습니까?
22,Order was mistakenly placed. The warehouse noticed the lack of documentation.,주문이 실수로 배치되었습니다.창고는 문서가 부족하다는 것을 알았습니다.
23,"Customer disputed the order and we agreed to cancel it. We must be more cautions with this customer going forward, since they are very hard to please. We must cover the shipping fees.",고객은 주문에 이의를 제기했으며 우리는이를 취소하기로 동의했습니다.우리는이 고객이 기쁘게하기가 매우 어렵 기 때문에 앞으로 나아가는 것에 대해 더주의를 기울여야합니다.우리는 배송비를 충당해야합니다.
24,Customer requested that DHL is used for this shipping,고객은 DHL 이이 배송에 사용되도록 요청했습니다
25,Customer heard complaints from their customers and called to cancel this order. Will notify the Sales Manager.,고객은 고객으로부터 불만을 듣고이 주문을 취소하도록 요청했습니다.영업 관리자에게 알립니다.
26,This customer found a better offer from one of our competitors. Will call back to renegotiate.,이 고객은 경쟁 업체 중 한 명으로부터 더 나은 제안을 발견했습니다.Renegotiate에 다시 전화 할 것입니다.
27,Customer will send a truck to our local warehouse on 7/1/2004,고객은 2004 년 7 월 1 일에 트럭을 현지 창고로 보낼 것입니다.
28,Order was disputed and resolved on 12/1/04. The Sales Manager was involved. Customer claims the scales of the models don't match what was discussed.,명령은 04 년 12 월 1 일에 이의를 제기하고 해결되었습니다.영업 관리자가 참여했습니다.고객은 모델의 규모가 논의 된 내용과 일치하지 않는다고 주장합니다.
29,The outstaniding balance for this customer exceeds their credit limit. Order will be shipped when a payment is received.,이 고객의 아웃 스탠딩 잔액은 신용 한도를 초과합니다.지불이 접수되면 주문이 배송됩니다.
30,This order was disputed and resolved on 2/1/2005. Customer claimed that container with shipment was damaged. FedEx's investigation proved this wrong.,이 명령은 2005 년 2 월 1 일에 이의를 제기하고 해결되었습니다.고객은 배송이있는 컨테이너가 손상되었다고 주장했다.FedEx의 조사는 이것이 잘못을 증명했다.
31,Disputed then Resolved on 3/15/2005. Customer doesn't like the craftsmaship of the models.,2005 년 3 월 15 일에 분쟁이 발생했습니다.고객은 모델의 공예 메스 마시 팁을 좋아하지 않습니다.
32,Customer credit limit exceeded. Will ship when a payment is received.,고객 신용 한도가 초과되었습니다.지불이 접수되면 배송됩니다.
33,Customer claims container with shipment was damaged during shipping and some items were missing. I am talking to FedEx about this.,배송 중에 배송이있는 컨테이너가 배송 중에 손상되었으며 일부 품목이 누락되었다고 주장합니다.나는 이것에 대해 FedEx와 이야기하고 있습니다.
34,Customer claims the scales of the models don't match what was discussed. I keep all the paperwork though to prove otherwise,고객은 모델의 규모가 논의 된 내용과 일치하지 않는다고 주장합니다.나는 달리 증명하기 위해 모든 서류를 유지합니다
35,Customer doesn't like the colors and precision of the models.,고객은 모델의 색상과 정밀도를 좋아하지 않습니다.
36,Custom shipping instructions were sent to warehouse,맞춤 배송 지침이 창고로 전송되었습니다
